Data,Tipo,Pratos Principais,Acompanhamentos,Bebidas,Sobremesas
2023-10-02,Almoço,Torta Madalena de Soja; Vatapá de Jaca,"Salada Crua; Salada Cozida: Batata, Cenoura e Vagem; Farofa; Feijão Preto; Arroz Refogado",Suco,Fruta
2023-10-02,Jantar,Coxa e Sobrecoxa ao Forno; Lentilha ao Molho,Salada Crua; Sopa de Legumes com Carne; Creme de Cebola; Cuscuz; Arroz com Vagem,Suco; Café; Café com Leite,
2023-10-03,Almoço,Vaca Atolada; Lentilha com Cebola Caramelizada,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz Colorido",Suco,Paçoca
2023-10-03,Jantar,Lombo Suíno ao Molho Agridoce; Soja Oriental,Salada Crua; Sopa de Peixe; Sopa de Feijão Vegetariana; Macaxeira; Espaguete ao Sugo,Suco; Café; Café com Leite,
2023-10-04,Almoço,Frango ao Forno; Estrogonofe de Grão-de-bico,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Cuscuz Temperado; Feijão Preto; Arroz com Ervilha",Suco,Fruta
2023-10-04,Jantar,Guisado Bovino; Ratatouille,Salada Crua; Arroz Doce; Caldo Verde; Batata-doce; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-10-05,Almoço,Suíno ao Molho Escuro; Soja Refogada,"Salada Crua; Salada Cozida: Batata, Cenoura, Vagem e Ervilha; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz com Cenoura",Suco,Creme Rosé
2023-10-05,Jantar,Hambúrguer; Grão-de-bico com Legumes,Salada Crua; Sopa de Feijão com Carne; Creme de Abóbora; Inhame; Espaguete com Ervas,Suco; Café; Café com Leite,
2023-10-06,Almoço,Feijoada; Torta de Repolho,"Salada Crua; Salada Cozida: Couve, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-10-06,Jantar,Charque Acebolada; Torta Madalena de Soja,Salada Crua; Sopa de Legumes; Mungunzá; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2023-10-09,Almoço,Peixe à Gomes de Sá; Lasanha de Jaca,"Salada Crua; Salada Cozida: Batata, Cenoura, Vagem e Milho; Abóbora ao Forno; Feijão Mulatinho; Arroz Refogado",Suco,Fruta
2023-10-09,Jantar,Frango Xadrez; Bobó de Grão-de-bico,Salada Crua; Sopa de Peixe; Creme de Batata; Batata-doce; Arroz Branco,Suco; Café; Café com Leite,
2023-10-10,Almoço,Frango ao Molho de Tomate; Risoto de Grão-de-bico,"Salada Crua; Salada Cozida: Abobrinha, Beterraba e Chuchu; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz com Cenoura",Suco,Pé-de-moleque
2023-10-10,Jantar,Isca de Carne à Chinesa; Moqueca de Banana com Legumes,Salada Crua; Canja; Creme de Cenoura; Macaxeira; Espaguete ao Sugo,Suco; Café; Café com Leite,
